;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;CONFIGURAÇÕES;;;;;;;
;Sálario;;R$ 8.000,00;;;;;
;Rendimentos  Carteira;;1%;;;;;
;Sugestão de Investimento (30%);;R$ 2.400,00;;;;;
;Sugestão gasto Necessarios (50%);;R$ 4.000,00;;;;;
;Sugestão gasto Lazer (20%);;R$ 1.600,00;;;;;
;;;;;;;;
;INVESTIMENTO MENSAL;;;;;;;
;Quanto investir por mês?;;R$ 2.000,00;;;;;
;Por quantos anos?;;15;;;;;
;Taxa de rendimento mensal?;;1,08%;;;;;
;Patrimônio acumulado;;R$ 1.093.957,19;;;;;
;Dividendos mensais;;R$ 10.939,57;;;;;
;;;;;;;;
;Cenários;;Dividendos;;;;;
;Quanto em 2 nos?;R$ 54.455,25;R$ 544,55;;;;;
;Quanto em 5 nos?;R$ 167.553,83;R$ 1.675,54;;;;;
;Quanto em 10 nos?;R$ 486.568,43;R$ 4.865,68;;;;;
2;Quanto em 20 nos?;R$ 2.250.396,80;R$ 22.503,97;;;;;
5;Quanto em 30 nos?;R$ 8.644.339,31;R$ 86.443,39;;;;;
10;;;;;;;;
20;;;;;;;;
30;PERFIL;Moderado;;;;;;
;VALOR A SER INVESTIDO POR MÊS;;R$ 2.000,00;;;;;
;;;;;;;;
;Tipo de FII;Percentual sugerido;Valores;;;;;
;Papel;32%;R$ 640,00;;;;;
;Tijolo;30%;R$ 600,00;;;;;
;Hibrido;8%;R$ 160,00;;;;;
;FOFs;10%;R$ 200,00;;;;;
;Desenvolvimento;10%;R$ 200,00;;;;;
;Hotelarias;10%;R$ 200,00;;;;;
;;;R$ 2.000,00;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
